 * Serving Flask app 'task_wizard'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5005
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [03/May/2026 09:02:40] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:40] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:43] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:43] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:46] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:46] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:49] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:49] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:52] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:52] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:55] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:55] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:58] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:02:58] "GET /api/dashboard HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:03:01] "GET /api/status HTTP/1.1" 200 -
127.0.0.1 - - [03/May/2026 09:03:01] "GET /api/dashboard HTTP/1.1" 200 -
